travel_id,lodging_nm,lodging_payment_seq,lodging_type_cd,rsvt_yn,chk_in_dt_min,chk_out_dt_min,payment_num,brno,store_nm,road_nm_addr,lotno_addr,road_nm_cd,lotno_cd,payment_dt,payment_mthd_se,payment_amt_won,payment_etc
h_h000009,롯데시티호텔 제주,0,1,Y,,,2,,,제주특별자치도 제주시 도령로 83,제주특별자치도 제주시 연동 2324-6,,,,4,19191,
h_h000009,씨스테이호텔&스파,0,1,Y,,,2,,,제주특별자치도 제주시 애월읍 애월해안로 255,제주특별자치도 제주시 애월읍 고내리 1105-1,,,,1,201434,
h_h000010,신신호텔 천지연,0,1,Y,,,4,,,제주특별자치도 서귀포시 서문로 42-1,제주특별자치도 서귀포시 서귀동 325-1,,,,1,72000,
h_h000010,제주키즈독채펜션아이랑,0,3,Y,,,4,,,제주특별자치도 제주시 애월읍 고내로7길 34,제주특별자치도 제주시 애월읍 고내리 1071-1,,,,5,340000,
h_h000013,뜨레비호텔,1,1,Y,,,3,,,,,,,2023-05-20 00:00:00,1,50000,제주 뜨레비호텔
h_h000013,제주신화월드 신화관,1,1,Y,,,3,,(주)티몬,,,,,2023-04-23 00:00:00,1,338000,제주신화월드 4개관
h_h000014,한화리조트 제주,0,4,Y,,,8,,,제주특별자치도 제주시 명림로 575-107,제주특별자치도 제주시 회천동 3-16,,,,1,340000,
h_h000017,마가렛펜션,1,3,Y,,,2,,주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-17 15:52:00,1,78000,숙박비
h_h000017,해비치 호텔&리조트 제주,1,1,Y,,,2,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-18 14:09:00,1,260250,해비치 호텔&리조트
h_h000017,힐스테이트제주,1,11,Y,,,2,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-03-04 09:15:00,1,60000,힐스테이트 제주
h_h000019,수수민박,0,7,Y,,,1,,,제주특별자치도 서귀포시 색달로81번길 61,,,,,5,30000,
h_h000019,오소소게스트하우스,0,7,Y,,,1,,,제주특별자치도 서귀포시 대정읍 비자낭로 23,제주특별자치도 서귀포시 대정읍 신도리 2071-4,,,,5,28000,
h_h000020,아시아호텔,1,1,Y,,,3,,트립닷컴,,,,,2023-04-06 00:00:00,1,61362,아시아 호텔
h_h000020,제주신화월드 랜딩관,1,4,Y,,,3,,트립닷컴,,,,,2023-04-05 00:00:00,1,391519,랜딩관 제주신화월드 호텔 앤 리조트
h_h000025,마이온홈,0,3,Y,,,2,,,제주특별자치도 제주시 애월읍 애원로 132-6,,,,,1,160000,
h_h000025,하모스테이,0,7,Y,,,2,,,제주특별자치도 제주시 한림읍 금능5길 11,제주특별자치도 제주시 한림읍 금능리 1545,,,,1,80000,
h_h000028,제주빌레성통나무휴양펜션,1,3,Y,,,3,,㈜여기어때컴퍼니,서울 강남구 봉은사로 479,서울 강남구 삼성동 51-2,3122004,1168010500,2023-05-23 00:00:00,3,208000,제주 빌레성통나무휴양펜션
h_h000030,녹고뫼휴양펜션 &제주캠핑장,0,5,Y,,,2,,,제주특별자치도 제주시 애월읍 유수암평화10길 175-78,제주특별자치도 제주시 애월읍 유수암리 92,,,,5,270000,
h_h000032,한화리조트 제주,0,4,Y,,,2,,,제주특별자치도 제주시 명림로 575-107,제주특별자치도 제주시 회천동 3-16,,,,4,0,
h_h000034,성산일출봉 공영주차장,0,5,N,,,1,,,제주특별자치도 서귀포시 성산읍 일출로 284-6,제주특별자치도 서귀포시 성산읍 성산리 114-3,,,,4,0,
h_h000037,WE호텔,0,1,Y,,,2,,,제주특별자치도 서귀포시 1100로 453-95,제주특별자치도 서귀포시 회수동 30,,,,1,242100,
h_h000037,브리즈베이호텔,0,1,Y,,,2,,,제주특별자치도 서귀포시 성산읍 성산등용로 42,제주특별자치도 서귀포시 성산읍 성산리 382-6,,,,1,49500,
h_h000037,한담풍경하우스,0,3,Y,,,2,,,제주특별자치도 제주시 애월읍 애월로 6,제주특별자치도 제주시 애월읍 애월리 2457-1,,,,1,119600,
